name,price
"
	Смартфон Apple iPhone 8 256GB Space Gray (MQ7C2RU/A) 
	",57990
"
	Смартфон Apple iPhone 8 (PRODUCT)RED Special Edition 256Gb 
	",57990
"
	Смартфон Apple iPhone 8 256GB Gold (MQ7E2RU/A) 
	",57990
"
	Смартфон Apple iPhone 8 256GB Silver (MQ7D2RU/A) 
	",57990
"
	Смартфон Apple iPhone 8 Plus 64GB Space Gray (MQ8L2RU/A) 
	",55990
"
	Смартфон Apple iPhone 8 Plus 64GB Gold (MQ8N2RU/A) 
	",55990
"
	Apple IPhone Apple iPhone 8 Plus (PRODUCT)RED Special Edition 64Gb 
	",55990
"
	Смартфон Apple iPhone 8 Plus 64GB Silver (MQ8M2RU/A) 
	",55990
"
	Смартфон Apple iPhone 8 Plus 256GB Space Gray (MQ8P2RU/A) 
	",68990
"
	Смартфон Apple iPhone 8 Plus (PRODUCT)RED Special Edition 256Gb 
	",68990
"
	Смартфон Apple iPhone 8 Plus 256GB Gold (MQ8R2RU/A) 
	",68990
"
	Смартфон Apple iPhone 8 Plus 256GB Silver (MQ8Q2RU/A) 
	",68990
